id,value
GBP, 1
AED,4.7931
ALL,141.29
DZD,153.91
AOA,330.86
XCD,3.5232
ARS,36.13
AMD,626.74
AWG,2.3358
AUD,1.7683
AZN,2.2203
BSD,1.3049
BHD,0.492
BDT,109.27
BBD,2.6098
BYN,2.5928
BZD,2.6082
XOF,735.2
BMD,1.3049
BTN,89.56
BOB,9.0169
BAM,2.1921
BWP,13.4
BRL,5.0198
BND,1.7823
BGN,2.1921
XOF,735.2
BIF,2329.25
KHR,5296.6
XAF,735.2
CAD,1.7251
CVE,123.97
KYD,1.07
XAF,735.2
XAF,735.2
CLP,856.68
CNY,8.7618
COP,3765.96
KMF,551.4
XAF,735.2
CDF,2115.24
CRC,740.35
XOF,735.2
HRK,8.2867
CUP,1.3049
CZK,28.97
DKK,8.355
DJF,231.9
XCD,3.5232
DOP,64.39
AED,4.7931
ECS,1.3049
EGP,23.35
SVC,11.42
XAF,735.2
ERN,19.57
ETB,35.82
EUR,1.1208
FJD,2.7317
XPF,133.74
XAF,735.2
GMD,62.83
GEL,3.2009
GHS,6.2668
XCD,3.5232
GTQ,9.7613
XOF,735.2
GNF,11787.85
GYD,272.94
HTG,87.66
HNL,31.3
HKD,10.24
HUF,363.48
ISK,139.42
INR,89.56
IDR,18797.16
IQD,1554.14
ILS,4.7515
JMD,170.84
JPY,147.17
JOD,0.9265
KZT,450.21
KES,131.33
KWD,0.3954
KGS,88.94
LAK,11014.69
LBP,1971.05
LSL,17.31
LRD,1.3049
LYD,1.7877
MOP,10.55
MKD,69.01
MGA,4332.28
MWK,946.98
MYR,5.2966
MVR,20.09
XOF,735.2
MRO,466.24
MUR,45.08
MXN,24.78
MDL,21.76
MNT,3214.63
XCD,3.5232
MAD,12.37
MZN,76.33
MMK,1876.19
NPR,143.29
XPF,133.74
NZD,1.9239
NIO,41.25
XOF,735.2
NGN,470.41
NOK,10.66
OMR,0.5023
PKR,167.09
PAB,1.3049
PGK,4.2951
PYG,7472.11
PEN,4.2734
PHP,69.81
PLN,4.829
QAR,4.7512
RON,5.2145
RUB,82.25
RWF,1143.09
STD,27611.8
SAR,4.8938
XOF,735.2
RSD,132.21
SCR,17.99
SLL,10373.99
SGD,1.7823
SBD,10.19
SOS,756.84
ZAR,17.31
KRW,1477.54
LKR,208.71
XCD,3.5232
XCD,3.5232
XCD,3.5232
SDG,23.49
SRD,9.732
SZL,17.31
SEK,11.56
CHF,1.3046
TWD,39.89
TZS,2974.52
THB,43.53
XOF,735.2
TOP,1.7683
TTD,8.7932
TND,3.4462
TRY,6.2738
TMT,4.5672
AED,4.7931
UGX,4885.56
UAH,34.22
UYU,40.75
USD,1.3049
UZS,10162.34
VUV,146.06
VEF,156392.72
VND,30077.44
XPF,133.74
WST,3.358
YER,326.68
ZMW,12.98
ZWL,472.24
